Endstate,Frequency,Energy,Hamming
65604.0,4,-1.7692325252733008,19
65621.0,652300,-7.0225950753507975,21
204885.0,326605,-8.655159858435146,19
1114112.0,20,-0.5898280698326968,16
1114116.0,1,-0.21863558561847496,17
1114117.0,1,-1.316278285201452,18
1114180.0,5,-2.472784416802696,18
1146880.0,92113,-1.987433910873753,15
1548288.0,49870,-6.366278323774953,12
1674181.0,17807,-12.482814944759415,13
3613781.0,112619,-15.036611546640703,15
3650629.0,89320,-16.467044664015276,12
4191300.0,57454,-21.12504021027777,9
4191598.0,504003,-33.730645407946426,5
4194218.0,2292181,-54.213454352084554,0
